Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Date de lancement,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%)
AG1_Motion-Vidéo_Pierre_Digestion_V597,Abonnement,Pierre Moreau,Motion/Vidéo,Digestion,Ce qui a changé ma vie...,Juillet 2025,En pause,17/07/2025,1840,214,6660.8,3.62,8.6,219115,5916,2.7
AG1_Motion-Vidéo_Studio_Énergie_V598,AG1 Powder,Studio Interne,Motion/Vidéo,Énergie quotidienne,Mon avis honnête,Juillet 2025,Archivée,06/07/2025,6022,114,21498.54,3.57,52.82,31903,638,2
AG1_Podcast_Léa_Routine_V599,Abonnement,Léa Garcia,Podcast,Routine matinale,3 mois plus tard...,Juillet 2025,Arrêtée,16/07/2025,4280,171,10914,2.55,25.03,387177,10067,2.6
AG1_Podcast_Léa_Focus_V600,AG1 Powder,Léa Garcia,Podcast,Focus mental,Ce qui a changé ma vie...,Octobre 2025,En pause,09/10/2025,4007,158,8374.63,2.09,25.36,328993,9212,2.8
AG1_Imagestatique_Julie_Immunité_V601,Shaker,Julie Petit,Image statique,Immunité,La vérité sur AG1,Octobre 2025,Arrêtée,12/10/2025,7809,222,25691.61,3.29,35.18,484185,13557,2.8
AG1_UGC_Sophie_Immunité_V602,Bundle Complet,Sophie Martin,UGC,Immunité,Ce que personne ne dit,Août 2025,Arrêtée,09/08/2025,1393,94,4429.74,3.18,14.82,135718,4207,3.1
AG1_UGC_Camille_Bien-être_V603,Bundle Complet,Camille Dubois,UGC,Bien-être global,La vérité sur AG1,Juillet 2025,Arrêtée,17/07/2025,4771,20,17127.89,3.59,238.55,154709,6343,4.1
AG1_Imagestatique_Emma_Immunité_V604,Bundle Complet,Emma Laurent,Image statique,Immunité,3 mois plus tard...,Octobre 2025,Arrêtée,13/10/2025,7389,158,17733.6,2.4,46.77,146116,6137,4.2
AG1_UGC_Sophie_Routine_V605,Shaker,Sophie Martin,UGC,Routine matinale,3 mois plus tard...,Août 2025,Archivée,22/08/2025,3197,110,9111.45,2.85,29.06,85333,2389,2.8
AG1_Témoignage_Léa_Immunité_V606,Shaker,Léa Garcia,Témoignage,Immunité,Pourquoi je ne peux plus m'en passer,Octobre 2025,Archivée,09/10/2025,813,149,2894.28,3.56,5.46,169346,5758,3.4
AG1_Imagestatique_Pierre_Énergie_V607,Abonnement,Pierre Moreau,Image statique,Énergie quotidienne,Pourquoi je ne peux plus m'en passer,Novembre 2025,En ligne,24/11/2025,7158,35,14602.32,2.04,204.51,293839,10578,3.6
AG1_Imagestatique_Sophie_Performance_V608,AG1 Powder,Sophie Martin,Image statique,Performance sportive,3 mois plus tard...,Septembre 2025,En pause,15/09/2025,7545,109,23012.25,3.05,69.22,390617,14453,3.7
AG1_Motion-Vidéo_Pierre_Performance_V609,AG1 Travel Packs,Pierre Moreau,Motion/Vidéo,Performance sportive,Mon secret de productivité,Novembre 2025,En pause,09/11/2025,4171,145,16225.19,3.89,28.77,118780,4039,3.4
AG1_Podcast_Camille_Bien-être_V610,Shaker,Camille Dubois,Podcast,Bien-être global,Mon secret de productivité,Octobre 2025,Archivée,07/10/2025,6789,79,29396.37,4.33,85.94,235978,6607,2.8
AG1_Motion-Vidéo_Camille_Focus_V611,AG1 Travel Packs,Camille Dubois,Motion/Vidéo,Focus mental,Mon secret de productivité,Novembre 2025,Arrêtée,07/11/2025,1734,165,5964.96,3.44,10.51,120913,2902,2.4
AG1_Motion-Vidéo_Pierre_Routine_V612,Shaker,Pierre Moreau,Motion/Vidéo,Routine matinale,Mon secret de productivité,Juillet 2025,En pause,24/07/2025,1239,92,2762.97,2.23,13.47,114843,2986,2.6
AG1_UGC_Emma_Bien-être_V613,AG1 Powder,Emma Laurent,UGC,Bien-être global,Mon avis honnête,Juillet 2025,En pause,08/07/2025,820,156,3107.8,3.79,5.26,356426,13901,3.9
AG1_Imagestatique_Léa_Énergie_V614,AG1 Travel Packs,Léa Garcia,Image statique,Énergie quotidienne,3 mois plus tard...,Juillet 2025,En pause,18/07/2025,2195,13,9131.2,4.16,168.85,151133,6045,4
AG1_Imagestatique_Thomas_Bien-être_V615,Vitamine D3+K2,Thomas Bernard,Image statique,Bien-être global,Mon secret de productivité,Août 2025,En ligne,20/08/2025,2684,82,6334.24,2.36,32.73,181656,5631,3.1
AG1_Témoignage_Julie_Digestion_V616,AG1 Powder,Julie Petit,Témoignage,Digestion,Mon secret de productivité,Octobre 2025,En pause,13/10/2025,1952,78,3181.76,1.63,25.03,480065,11041,2.3
AG1_Imagestatique_Camille_Voyage_V617,Bundle Complet,Camille Dubois,Image statique,Voyage et santé,Ce qui a changé ma vie...,Juillet 2025,Archivée,19/07/2025,1526,139,5325.74,3.49,10.98,430871,17666,4.1
AG1_Témoignage_Pierre_Focus_V618,Shaker,Pierre Moreau,Témoignage,Focus mental,Mon avis honnête,Octobre 2025,En pause,24/10/2025,6731,8,17029.43,2.53,841.38,157583,5043,3.2
AG1_Imagestatique_Léa_Immunité_V619,Bundle Complet,Léa Garcia,Image statique,Immunité,Avant chaque entraînement...,Septembre 2025,Arrêtée,02/09/2025,1548,216,1904.04,1.23,7.17,282337,4517,1.6
AG1_UGC_Studio_Performance_V620,Vitamine D3+K2,Studio Interne,UGC,Performance sportive,Pourquoi je ne peux plus m'en passer,Septembre 2025,Arrêtée,23/09/2025,5317,48,16801.72,3.16,110.77,151032,5286,3.5
AG1_Imagestatique_Antoine_Digestion_V621,Shaker,Antoine Roux,Image statique,Digestion,Ce qui a changé ma vie...,Août 2025,En ligne,08/08/2025,5670,181,21092.4,3.72,31.33,194416,3694,1.9
AG1_Motion-Vidéo_Studio_Immunité_V622,Bundle Complet,Studio Interne,Motion/Vidéo,Immunité,3 mois plus tard...,Juillet 2025,Archivée,03/07/2025,2956,167,5113.88,1.73,17.7,256076,5122,2
AG1_UGC_Julie_Voyage_V623,Omega-3,Julie Petit,UGC,Voyage et santé,Ce que personne ne dit,Juillet 2025,En pause,22/07/2025,6775,113,7859,1.16,59.96,467847,14035,3
AG1_Podcast_Léa_Bien-être_V624,AG1 Powder,Léa Garcia,Podcast,Bien-être global,Mon avis honnête,Novembre 2025,Archivée,17/11/2025,1152,131,4262.4,3.7,8.79,311204,8403,2.7
AG1_Podcast_Sophie_Focus_V625,Abonnement,Sophie Martin,Podcast,Focus mental,Pourquoi je ne peux plus m'en passer,Octobre 2025,En ligne,03/10/2025,1900,17,1539,0.81,111.76,25790,542,2.1
AG1_Motion-Vidéo_Julie_Énergie_V626,AG1 Powder,Julie Petit,Motion/Vidéo,Énergie quotidienne,Ce qui a changé ma vie...,Septembre 2025,Arrêtée,12/09/2025,1236,159,2496.72,2.02,7.77,312474,5312,1.7
AG1_Témoignage_Camille_Focus_V627,Shaker,Camille Dubois,Témoignage,Focus mental,3 mois plus tard...,Juillet 2025,Arrêtée,17/07/2025,6344,107,25820.08,4.07,59.29,143170,4152,2.9
AG1_UGC_Sophie_Focus_V628,AG1 Travel Packs,Sophie Martin,UGC,Focus mental,Pourquoi je ne peux plus m'en passer,Novembre 2025,En ligne,06/11/2025,3758,18,7027.46,1.87,208.78,27510,1128,4.1
AG1_Imagestatique_Julie_Énergie_V629,Vitamine D3+K2,Julie Petit,Image statique,Énergie quotidienne,Mon secret de productivité,Novembre 2025,Archivée,06/11/2025,6029,137,25562.96,4.24,44.01,134039,4423,3.3
AG1_Imagestatique_Léa_Voyage_V630,Vitamine D3+K2,Léa Garcia,Image statique,Voyage et santé,Mon avis honnête,Octobre 2025,Arrêtée,24/10/2025,5731,174,11232.76,1.96,32.94,35127,562,1.6
AG1_UGC_Pierre_Focus_V631,Abonnement,Pierre Moreau,UGC,Focus mental,Avant chaque entraînement...,Octobre 2025,En pause,05/10/2025,7736,48,24987.28,3.23,161.17,309997,6820,2.2
AG1_Podcast_Julie_Voyage_V632,AG1 Powder,Julie Petit,Podcast,Voyage et santé,Mon avis honnête,Septembre 2025,En pause,13/09/2025,1897,197,6487.74,3.42,9.63,164052,5742,3.5
AG1_Témoignage_Thomas_Routine_V633,Vitamine D3+K2,Thomas Bernard,Témoignage,Routine matinale,Ce que personne ne dit,Septembre 2025,Archivée,17/09/2025,3968,9,7499.52,1.89,440.89,79630,2070,2.6
AG1_Motion-Vidéo_Julie_Énergie_V634,Bundle Complet,Julie Petit,Motion/Vidéo,Énergie quotidienne,Avant chaque entraînement...,Octobre 2025,En pause,12/10/2025,6495,154,28837.8,4.44,42.18,191276,8416,4.4
AG1_UGC_Léa_Digestion_V635,Omega-3,Léa Garcia,UGC,Digestion,La vérité sur AG1,Septembre 2025,En ligne,20/09/2025,3741,66,16235.94,4.34,56.68,452918,18570,4.1
AG1_Podcast_Sophie_Immunité_V636,Abonnement,Sophie Martin,Podcast,Immunité,Mon secret de productivité,Octobre 2025,Archivée,21/10/2025,2891,145,2399.53,0.83,19.94,458471,11462,2.5
AG1_Témoignage_Camille_Digestion_V637,AG1 Powder,Camille Dubois,Témoignage,Digestion,Ce qui a changé ma vie...,Août 2025,En pause,24/08/2025,6492,249,16879.2,2.6,26.07,293479,6163,2.1
AG1_UGC_Pierre_Focus_V638,Shaker,Pierre Moreau,UGC,Focus mental,La vérité sur AG1,Octobre 2025,En ligne,08/10/2025,4764,13,4573.44,0.96,366.46,99823,4292,4.3
AG1_Imagestatique_Marc_Focus_V639,AG1 Powder,Marc Dupont,Image statique,Focus mental,3 mois plus tard...,Octobre 2025,En pause,06/10/2025,5352,119,14932.08,2.79,44.97,279333,4190,1.5
AG1_Imagestatique_Sophie_Routine_V640,Abonnement,Sophie Martin,Image statique,Routine matinale,Ce que personne ne dit,Novembre 2025,En pause,24/11/2025,1468,53,6503.24,4.43,27.7,82477,3547,4.3
AG1_Témoignage_Pierre_Bien-être_V641,AG1 Travel Packs,Pierre Moreau,Témoignage,Bien-être global,Mon secret de productivité,Septembre 2025,En pause,19/09/2025,2254,64,9669.66,4.29,35.22,391744,10577,2.7
AG1_Motion-Vidéo_Studio_Immunité_V642,AG1 Travel Packs,Studio Interne,Motion/Vidéo,Immunité,La vérité sur AG1,Juillet 2025,Arrêtée,20/07/2025,5964,86,10794.84,1.81,69.35,165690,5799,3.5
AG1_UGC_Emma_Focus_V643,AG1 Powder,Emma Laurent,UGC,Focus mental,Mon secret de productivité,Août 2025,En pause,20/08/2025,7656,172,15541.68,2.03,44.51,365056,12047,3.3
AG1_Imagestatique_Marc_Performance_V644,Shaker,Marc Dupont,Image statique,Performance sportive,Mon avis honnête,Juillet 2025,En pause,23/07/2025,3985,25,11436.95,2.87,159.4,354258,9919,2.8
AG1_Podcast_Léa_Performance_V645,Omega-3,Léa Garcia,Podcast,Performance sportive,Ce qui a changé ma vie...,Août 2025,Arrêtée,23/08/2025,4325,117,11850.5,2.74,36.97,242306,6300,2.6
AG1_Témoignage_Thomas_Routine_V646,AG1 Powder,Thomas Bernard,Témoignage,Routine matinale,La vérité sur AG1,Août 2025,En ligne,03/08/2025,5127,21,14150.52,2.76,244.14,259414,4151,1.6
AG1_Témoignage_Julie_Bien-être_V647,Omega-3,Julie Petit,Témoignage,Bien-être global,Mon avis honnête,Juillet 2025,En pause,23/07/2025,5437,246,16854.7,3.1,22.1,50597,2176,4.3
AG1_Imagestatique_Julie_Digestion_V648,AG1 Travel Packs,Julie Petit,Image statique,Digestion,3 mois plus tard...,Novembre 2025,En pause,21/11/2025,6511,73,10873.37,1.67,89.19,478590,19622,4.1
AG1_UGC_Emma_Énergie_V649,AG1 Powder,Emma Laurent,UGC,Énergie quotidienne,3 mois plus tard...,Août 2025,En ligne,18/08/2025,3270,146,10333.2,3.16,22.4,266652,6666,2.5
AG1_Podcast_Antoine_Performance_V650,AG1 Travel Packs,Antoine Roux,Podcast,Performance sportive,3 mois plus tard...,Août 2025,Archivée,26/08/2025,5826,17,12700.68,2.18,342.71,326414,12730,3.9
AG1_Témoignage_Emma_Énergie_V651,AG1 Powder,Emma Laurent,Témoignage,Énergie quotidienne,Mon avis honnête,Octobre 2025,En ligne,06/10/2025,5956,212,11375.96,1.91,28.09,362024,14843,4.1
AG1_Imagestatique_Sophie_Voyage_V652,Bundle Complet,Sophie Martin,Image statique,Voyage et santé,Ce que personne ne dit,Novembre 2025,Archivée,01/11/2025,4044,180,5661.6,1.4,22.47,158073,2529,1.6
AG1_Motion-Vidéo_Léa_Bien-être_V653,Abonnement,Léa Garcia,Motion/Vidéo,Bien-être global,Ce que personne ne dit,Septembre 2025,En pause,10/09/2025,6862,104,9744.04,1.42,65.98,470275,11287,2.4
AG1_Imagestatique_Antoine_Énergie_V654,Omega-3,Antoine Roux,Image statique,Énergie quotidienne,Ce qui a changé ma vie...,Septembre 2025,Arrêtée,06/09/2025,1678,130,5050.78,3.01,12.91,273253,7105,2.6
AG1_Motion-Vidéo_Thomas_Digestion_V655,Vitamine D3+K2,Thomas Bernard,Motion/Vidéo,Digestion,Mon secret de productivité,Juillet 2025,En pause,19/07/2025,5074,169,17708.26,3.49,30.02,168369,4041,2.4
AG1_Motion-Vidéo_Léa_Voyage_V656,AG1 Travel Packs,Léa Garcia,Motion/Vidéo,Voyage et santé,3 mois plus tard...,Juillet 2025,En ligne,27/07/2025,6586,162,6190.84,0.94,40.65,344305,8608,2.5
AG1_Imagestatique_Thomas_Immunité_V657,Shaker,Thomas Bernard,Image statique,Immunité,Avant chaque entraînement...,Octobre 2025,Arrêtée,02/10/2025,3329,145,6291.81,1.89,22.96,220544,3749,1.7
AG1_Imagestatique_Pierre_Voyage_V658,Bundle Complet,Pierre Moreau,Image statique,Voyage et santé,La vérité sur AG1,Août 2025,En ligne,17/08/2025,5142,71,12649.32,2.46,72.42,472649,10871,2.3
AG1_Témoignage_Marc_Routine_V659,AG1 Travel Packs,Marc Dupont,Témoignage,Routine matinale,Ce que personne ne dit,Août 2025,En pause,07/08/2025,7261,34,27882.24,3.84,213.56,159848,6234,3.9
AG1_Podcast_Sophie_Immunité_V660,Shaker,Sophie Martin,Podcast,Immunité,Pourquoi je ne peux plus m'en passer,Octobre 2025,En ligne,06/10/2025,1513,160,3737.11,2.47,9.46,384656,6154,1.6
AG1_Podcast_Léa_Routine_V661,Vitamine D3+K2,Léa Garcia,Podcast,Routine matinale,Ce qui a changé ma vie...,Juillet 2025,En ligne,26/07/2025,3719,170,7921.47,2.13,21.88,114033,3991,3.5
AG1_Motion-Vidéo_Léa_Routine_V662,Shaker,Léa Garcia,Motion/Vidéo,Routine matinale,Avant chaque entraînement...,Octobre 2025,Arrêtée,15/10/2025,4100,118,7011,1.71,34.75,134307,3761,2.8
AG1_Motion-Vidéo_Thomas_Voyage_V663,AG1 Travel Packs,Thomas Bernard,Motion/Vidéo,Voyage et santé,Avant chaque entraînement...,Novembre 2025,En pause,15/11/2025,7659,218,7352.64,0.96,35.13,392329,17262,4.4
AG1_Motion-Vidéo_Léa_Bien-être_V664,Vitamine D3+K2,Léa Garcia,Motion/Vidéo,Bien-être global,Avant chaque entraînement...,Octobre 2025,Arrêtée,06/10/2025,2550,188,4896,1.92,13.56,463791,9740,2.1
AG1_Podcast_Studio_Digestion_V665,Abonnement,Studio Interne,Podcast,Digestion,Avant chaque entraînement...,Septembre 2025,Arrêtée,08/09/2025,3610,23,11371.5,3.15,156.96,497174,11435,2.3
AG1_Imagestatique_Thomas_Digestion_V666,Bundle Complet,Thomas Bernard,Image statique,Digestion,3 mois plus tard...,Septembre 2025,En pause,09/09/2025,5236,147,16912.28,3.23,35.62,101017,2323,2.3
AG1_Imagestatique_Sophie_Bien-être_V667,Bundle Complet,Sophie Martin,Image statique,Bien-être global,3 mois plus tard...,Août 2025,En ligne,21/08/2025,519,89,1717.89,3.31,5.83,447848,12540,2.8
AG1_Témoignage_Julie_Focus_V668,Vitamine D3+K2,Julie Petit,Témoignage,Focus mental,Pourquoi je ne peux plus m'en passer,Juillet 2025,En pause,01/07/2025,4129,143,18002.44,4.36,28.87,35802,1468,4.1
AG1_Imagestatique_Julie_Digestion_V669,AG1 Travel Packs,Julie Petit,Image statique,Digestion,Avant chaque entraînement...,Août 2025,Archivée,05/08/2025,4379,186,6831.24,1.56,23.54,331647,12934,3.9
AG1_Imagestatique_Studio_Digestion_V670,AG1 Travel Packs,Studio Interne,Image statique,Digestion,Mon secret de productivité,Octobre 2025,En pause,14/10/2025,4875,149,12382.5,2.54,32.72,249902,5498,2.2
AG1_Motion-Vidéo_Camille_Performance_V671,Shaker,Camille Dubois,Motion/Vidéo,Performance sportive,Avant chaque entraînement...,Septembre 2025,Arrêtée,26/09/2025,6233,115,27051.22,4.34,54.2,332441,13963,4.2
AG1_Imagestatique_Antoine_Voyage_V672,Abonnement,Antoine Roux,Image statique,Voyage et santé,Mon avis honnête,Août 2025,En pause,18/08/2025,6296,72,7366.32,1.17,87.44,380795,14851,3.9
AG1_Témoignage_Thomas_Routine_V673,AG1 Powder,Thomas Bernard,Témoignage,Routine matinale,Mon avis honnête,Octobre 2025,Archivée,15/10/2025,3026,55,13253.88,4.38,55.02,278048,10844,3.9
AG1_Podcast_Marc_Voyage_V674,Abonnement,Marc Dupont,Podcast,Voyage et santé,Avant chaque entraînement...,Août 2025,En pause,14/08/2025,4997,148,9944.03,1.99,33.76,104862,1888,1.8
AG1_Podcast_Sophie_Voyage_V675,Shaker,Sophie Martin,Podcast,Voyage et santé,Ce que personne ne dit,Octobre 2025,Arrêtée,02/10/2025,2173,231,5519.42,2.54,9.41,455822,13675,3
AG1_Témoignage_Pierre_Énergie_V676,Vitamine D3+K2,Pierre Moreau,Témoignage,Énergie quotidienne,3 mois plus tard...,Octobre 2025,Arrêtée,13/10/2025,2305,191,4794.4,2.08,12.07,425121,18280,4.3
AG1_UGC_Pierre_Performance_V677,Omega-3,Pierre Moreau,UGC,Performance sportive,3 mois plus tard...,Août 2025,En ligne,17/08/2025,1377,215,5273.91,3.83,6.4,498870,17959,3.6
AG1_Podcast_Sophie_Énergie_V678,AG1 Powder,Sophie Martin,Podcast,Énergie quotidienne,Ce qui a changé ma vie...,Septembre 2025,Arrêtée,11/09/2025,5680,116,12325.6,2.17,48.97,483906,7259,1.5
AG1_Témoignage_Studio_Immunité_V679,AG1 Powder,Studio Interne,Témoignage,Immunité,Ce que personne ne dit,Octobre 2025,En pause,07/10/2025,6148,102,19120.28,3.11,60.27,340332,7487,2.2
AG1_Motion-Vidéo_Julie_Bien-être_V680,Shaker,Julie Petit,Motion/Vidéo,Bien-être global,Pourquoi je ne peux plus m'en passer,Novembre 2025,Arrêtée,12/11/2025,4349,48,3783.63,0.87,90.6,478211,19607,4.1
AG1_Podcast_Studio_Focus_V681,Abonnement,Studio Interne,Podcast,Focus mental,Pourquoi je ne peux plus m'en passer,Novembre 2025,En pause,02/11/2025,1593,53,3823.2,2.4,30.06,158896,5085,3.2
AG1_Motion-Vidéo_Julie_Bien-être_V682,Abonnement,Julie Petit,Motion/Vidéo,Bien-être global,Ce qui a changé ma vie...,Août 2025,En ligne,09/08/2025,3588,53,6063.72,1.69,67.7,287250,5458,1.9
AG1_Témoignage_Julie_Digestion_V683,AG1 Travel Packs,Julie Petit,Témoignage,Digestion,Avant chaque entraînement...,Novembre 2025,En pause,21/11/2025,7559,45,8088.13,1.07,167.98,112221,2132,1.9
AG1_Imagestatique_Studio_Bien-être_V684,Shaker,Studio Interne,Image statique,Bien-être global,La vérité sur AG1,Octobre 2025,En pause,23/10/2025,5711,231,18275.2,3.2,24.72,426965,7258,1.7
AG1_Podcast_Studio_Focus_V685,Abonnement,Studio Interne,Podcast,Focus mental,3 mois plus tard...,Juillet 2025,Arrêtée,27/07/2025,612,236,489.6,0.8,2.59,331582,10611,3.2
AG1_Motion-Vidéo_Marc_Focus_V686,AG1 Travel Packs,Marc Dupont,Motion/Vidéo,Focus mental,Mon avis honnête,Octobre 2025,Arrêtée,19/10/2025,3557,43,7540.84,2.12,82.72,301787,12373,4.1
AG1_Imagestatique_Antoine_Voyage_V687,AG1 Powder,Antoine Roux,Image statique,Voyage et santé,3 mois plus tard...,Septembre 2025,En ligne,25/09/2025,1695,48,6949.5,4.1,35.31,53999,1404,2.6
AG1_Imagestatique_Marc_Digestion_V688,Omega-3,Marc Dupont,Image statique,Digestion,Ce que personne ne dit,Novembre 2025,En pause,11/11/2025,2097,156,7528.23,3.59,13.44,220776,7506,3.4
AG1_Motion-Vidéo_Emma_Énergie_V689,Abonnement,Emma Laurent,Motion/Vidéo,Énergie quotidienne,Mon avis honnête,Septembre 2025,En ligne,14/09/2025,6967,85,27240.97,3.91,81.96,265952,8776,3.3
AG1_Imagestatique_Sophie_Focus_V690,AG1 Travel Packs,Sophie Martin,Image statique,Focus mental,Ce que personne ne dit,Octobre 2025,En ligne,23/10/2025,4526,36,7829.98,1.73,125.72,254928,8922,3.5
AG1_Imagestatique_Julie_Bien-être_V691,AG1 Powder,Julie Petit,Image statique,Bien-être global,Mon secret de productivité,Septembre 2025,Archivée,10/09/2025,2414,203,2124.32,0.88,11.89,111542,2454,2.2
AG1_Témoignage_Pierre_Performance_V692,Abonnement,Pierre Moreau,Témoignage,Performance sportive,3 mois plus tard...,Septembre 2025,Arrêtée,01/09/2025,4859,233,9134.92,1.88,20.85,348738,8718,2.5
AG1_Podcast_Sophie_Bien-être_V693,AG1 Powder,Sophie Martin,Podcast,Bien-être global,Avant chaque entraînement...,Octobre 2025,Arrêtée,02/10/2025,3124,184,10121.76,3.24,16.98,391226,7825,2
AG1_Motion-Vidéo_Marc_Énergie_V694,AG1 Travel Packs,Marc Dupont,Motion/Vidéo,Énergie quotidienne,Mon avis honnête,Août 2025,En pause,23/08/2025,1681,39,1546.52,0.92,43.1,162811,5861,3.6
AG1_Motion-Vidéo_Julie_Performance_V695,Abonnement,Julie Petit,Motion/Vidéo,Performance sportive,Avant chaque entraînement...,Novembre 2025,En ligne,21/11/2025,6055,36,7871.5,1.3,168.19,249197,10965,4.4
AG1_Podcast_Antoine_Voyage_V696,Bundle Complet,Antoine Roux,Podcast,Voyage et santé,La vérité sur AG1,Septembre 2025,En ligne,22/09/2025,5632,128,23372.8,4.15,44,477320,13842,2.9
AG1_Témoignage_Antoine_Routine_V697,AG1 Travel Packs,Antoine Roux,Témoignage,Routine matinale,La vérité sur AG1,Octobre 2025,En ligne,11/10/2025,3246,213,9705.54,2.99,15.24,179115,3941,2.2
AG1_Motion-Vidéo_Emma_Routine_V698,AG1 Powder,Emma Laurent,Motion/Vidéo,Routine matinale,Avant chaque entraînement...,Novembre 2025,En ligne,06/11/2025,4328,121,14931.6,3.45,35.77,356468,14972,4.2
AG1_Motion-Vidéo_Pierre_Bien-être_V699,Shaker,Pierre Moreau,Motion/Vidéo,Bien-être global,3 mois plus tard...,Novembre 2025,En ligne,11/11/2025,3048,188,13258.8,4.35,16.21,259082,8550,3.3
AG1_Podcast_Pierre_Voyage_V700,Abonnement,Pierre Moreau,Podcast,Voyage et santé,La vérité sur AG1,Septembre 2025,En ligne,05/09/2025,7561,48,33495.23,4.43,157.52,225992,8136,3.6
AG1_Motion-Vidéo_Antoine_Focus_V701,AG1 Powder,Antoine Roux,Motion/Vidéo,Focus mental,Avant chaque entraînement...,Août 2025,En pause,17/08/2025,3055,15,3116.1,1.02,203.67,414570,10364,2.5
AG1_UGC_Sophie_Immunité_V702,Bundle Complet,Sophie Martin,UGC,Immunité,Ce que personne ne dit,Octobre 2025,En ligne,16/10/2025,2954,244,3013.08,1.02,12.11,309642,9599,3.1
AG1_Motion-Vidéo_Pierre_Voyage_V703,Shaker,Pierre Moreau,Motion/Vidéo,Voyage et santé,La vérité sur AG1,Août 2025,Arrêtée,05/08/2025,1374,224,5097.54,3.71,6.13,446793,17872,4
AG1_Motion-Vidéo_Studio_Bien-être_V704,AG1 Travel Packs,Studio Interne,Motion/Vidéo,Bien-être global,Mon secret de productivité,Septembre 2025,Arrêtée,26/09/2025,3540,140,5380.8,1.52,25.29,244691,8564,3.5
AG1_Podcast_Sophie_Bien-être_V705,Abonnement,Sophie Martin,Podcast,Bien-être global,Ce que personne ne dit,Octobre 2025,Arrêtée,19/10/2025,1142,204,1850.04,1.62,5.6,318531,6052,1.9
AG1_UGC_Emma_Bien-être_V706,AG1 Powder,Emma Laurent,UGC,Bien-être global,Mon secret de productivité,Novembre 2025,En pause,19/11/2025,5323,242,6281.14,1.18,22,395506,8306,2.1
AG1_Témoignage_Camille_Performance_V707,AG1 Powder,Camille Dubois,Témoignage,Performance sportive,Pourquoi je ne peux plus m'en passer,Octobre 2025,Arrêtée,03/10/2025,6506,110,10019.24,1.54,59.15,354315,12401,3.5
AG1_UGC_Emma_Voyage_V708,Vitamine D3+K2,Emma Laurent,UGC,Voyage et santé,Pourquoi je ne peux plus m'en passer,Août 2025,En ligne,01/08/2025,4564,234,10771.04,2.36,19.5,121787,1827,1.5
AG1_Imagestatique_Sophie_Digestion_V709,AG1 Travel Packs,Sophie Martin,Image statique,Digestion,La vérité sur AG1,Octobre 2025,Archivée,07/10/2025,984,148,1289.04,1.31,6.65,96875,3197,3.3
AG1_Motion-Vidéo_Pierre_Focus_V710,Vitamine D3+K2,Pierre Moreau,Motion/Vidéo,Focus mental,Pourquoi je ne peux plus m'en passer,Novembre 2025,Archivée,22/11/2025,6007,122,11112.95,1.85,49.24,305478,6721,2.2
AG1_UGC_Léa_Digestion_V711,Omega-3,Léa Garcia,UGC,Digestion,Ce que personne ne dit,Novembre 2025,En pause,08/11/2025,1332,66,5354.64,4.02,20.18,132194,2115,1.6
AG1_Imagestatique_Emma_Immunité_V712,AG1 Powder,Emma Laurent,Image statique,Immunité,Ce qui a changé ma vie...,Août 2025,En pause,20/08/2025,3208,247,8693.68,2.71,12.99,82022,3609,4.4
AG1_Témoignage_Pierre_Énergie_V713,Shaker,Pierre Moreau,Témoignage,Énergie quotidienne,Pourquoi je ne peux plus m'en passer,Octobre 2025,Arrêtée,22/10/2025,6692,8,16395.4,2.45,836.5,252976,9613,3.8
AG1_Témoignage_Léa_Bien-être_V714,Abonnement,Léa Garcia,Témoignage,Bien-être global,Ce qui a changé ma vie...,Octobre 2025,Arrêtée,25/10/2025,5311,208,14180.37,2.67,25.53,208698,3965,1.9
AG1_Motion-Vidéo_Julie_Focus_V715,Bundle Complet,Julie Petit,Motion/Vidéo,Focus mental,Ce que personne ne dit,Juillet 2025,En ligne,11/07/2025,7148,211,20872.16,2.92,33.88,83872,2600,3.1
AG1_Imagestatique_Marc_Routine_V716,Bundle Complet,Marc Dupont,Image statique,Routine matinale,Pourquoi je ne peux plus m'en passer,Juillet 2025,Arrêtée,22/07/2025,6596,181,11543,1.75,36.44,209107,3973,1.9
AG1_Témoignage_Léa_Voyage_V717,Vitamine D3+K2,Léa Garcia,Témoignage,Voyage et santé,La vérité sur AG1,Novembre 2025,En ligne,07/11/2025,1311,123,3618.36,2.76,10.66,375741,15781,4.2
AG1_Imagestatique_Antoine_Performance_V718,Omega-3,Antoine Roux,Image statique,Performance sportive,La vérité sur AG1,Septembre 2025,Archivée,17/09/2025,7274,236,14475.26,1.99,30.82,118088,4605,3.9
AG1_Podcast_Léa_Énergie_V719,Bundle Complet,Léa Garcia,Podcast,Énergie quotidienne,Mon secret de productivité,Août 2025,En pause,13/08/2025,1148,85,3489.92,3.04,13.51,231710,7878,3.4
AG1_Témoignage_Pierre_Bien-être_V720,Abonnement,Pierre Moreau,Témoignage,Bien-être global,Ce qui a changé ma vie...,Octobre 2025,En ligne,23/10/2025,7677,63,8521.47,1.11,121.86,422410,9293,2.2
